Copou ,47.19052,27.55848
Stadion ,47.18646,27.56235
George Coșbuc,47.18458,27.56391
Triumf,47.18056,27.56736
Universitate,47.17496,27.57204
Piata M. Eminescu,47.16888,27.57679
Piața Unirii,47.165517,27.580742
Filarmonică,47.16414,27.58542
Tg. Cucu,47.1643,27.59083
Palatul Culturii,47.159208,27.587448
Podu Roș (3),47.14976214,27.58595917
Pod Nicolina,47.14271786,27.58029878
Tudor Neculai,47.13921645,27.57835022
C.U.G. I,47.13338039,27.57205793
Biserica Înălțarea Domnului,47.12940211,27.56930244
Technopolis,47.12394434,27.56738621
