Copou ,47.19052,27.55848
Stadion ,47.18646,27.56235
George Coșbuc,47.18458,27.56391
Triumf,47.18056,27.56736
Universitate,47.17496,27.57204
Piata M. Eminescu,47.16888,27.57679
Piața Unirii,47.165517,27.580742
Filarmonică,47.16414,27.58542
Tg. Cucu,47.1643,27.59083
Pădurii,47.16321,27.5969
Ateneu,47.16256058,27.60512212
Dr. Savini,47.16002786,27.61342973
Flora,47.15924156,27.61879812
Tătărași Sud,47.15628843,27.6238705
Pod Metalurgie,47.15207814,27.6215103
C.F.S.II,47.14892326,27.62052766
Piața Ing. Virgil Săhleanu,47.14628,27.61971
Baza 3,47.146797,27.61115017
Țesătura,47.14907777,27.59536631
Podu Roș (1),47.15096,27.58942
Palatul Culturii,47.15932388,27.58787297
Tg. Cucu,47.16415371,27.59017371
Filarmonică,47.16410517,27.58569157
Piața Unirii,47.165551,27.580803
Piața M. Eminescu,47.16865733,27.57686234
Universitate,47.17539658,27.57179996
Triumf,47.18083625,27.56729122
George Coșbuc,47.1835,27.56494
Stadion,47.1856602,27.56313702
Copou,47.19073972,27.5590083
Copou ,47.19052,27.55848
