Copou ,47.19052,27.55848
Stadion ,47.18646,27.56235
George Coșbuc,47.18458,27.56391
Triumf,47.18056,27.56736
Universitate,47.17496,27.57204
Piata M. Eminescu,47.16888,27.57679
Piața Unirii,47.165517,27.580742
Filarmonică,47.16414,27.58542
Tg. Cucu,47.16430079794557,27.590929321899807
Palatul Culturii,47.159208,27.587448
Podu Roș (1),47.15093309,27.58930349
Țesătura,47.14911991,27.59507185
C.E.T.,47.14796,27.60216
Baza 3,47.14711943095157,27.608572846175786
Piața Ing. Virgil Săhleanu,47.14572951,27.61862476
C.F.S. II,47.14794008,27.62023163
Pod Metalurgie,47.1500854,27.62090155
Blocuri Metalurgie,47.1529303,27.62208143
Tătărași Sud,47.15618676,27.62403712
Flora,47.15865629,27.62066686
Dr. Savini,47.15986589,27.61464086
Ateneu,47.16233665,27.60602528
Pădurii,47.16315933,27.59774709
Tg. Cucu,47.164242441765865,27.59016751968782
Filarmonică,47.16410517,27.58569157
Piața Unirii,47.165551,27.580803
Piața M. Eminescu,47.16865733,27.57686234
Universitate,47.17539658,27.57179996
Triumf,47.18083625,27.56729122
George Coșbuc,47.1835,27.56494
Stadion,47.1856602,27.56313702
Copou,47.19073972,27.5590083
Copou ,47.19052,27.55848
